"STATISTIC Label","Quarter","Eircode Output","UNIT","VALUE"
"New Dwelling Completion","2012Q3","R21: Mhuine Bheag","Number","3"
"New Dwelling Completion","2012Q3","R32: Portlaoise","Number","28"
"New Dwelling Completion","2012Q3","R35: Tullamore","Number","12"
"New Dwelling Completion","2012Q3","R42: Birr","Number","7"
"New Dwelling Completion","2012Q3","R45: Edenderry","Number","3"
"New Dwelling Completion","2012Q3","R51: Kildare","Number","2"
"New Dwelling Completion","2012Q3","R56: Curragh","Number","2"
"New Dwelling Completion","2012Q3","R93: Carlow","Number","14"
"New Dwelling Completion","2012Q3","R95: Kilkenny","Number","16"
"New Dwelling Completion","2012Q3","T12: Cork Southside","Number","20"
"New Dwelling Completion","2012Q3","T23: Cork Northside","Number","10"
"New Dwelling Completion","2012Q3","T34: Carrignavar","Number","5"
"New Dwelling Completion","2012Q3","T45: Glanmire","Number","6"
"New Dwelling Completion","2012Q3","T56: Watergrasshill","Number","6"
"New Dwelling Completion","2012Q3","V14: Shannon","Number","2"
"New Dwelling Completion","2012Q3","V15: Kilrush","Number","3"
"New Dwelling Completion","2012Q3","V23: Caherciveen","Number","3"
"New Dwelling Completion","2012Q3","V31: Listowel","Number","9"
"New Dwelling Completion","2012Q3","V35: Kilmallock","Number","9"
"New Dwelling Completion","2012Q3","V42: Newcastle West","Number","5"
"New Dwelling Completion","2012Q3","V92: Tralee","Number","8"
"New Dwelling Completion","2012Q3","V93: Killarney","Number","20"
"New Dwelling Completion","2012Q3","V94: Limerick","Number","40"
"New Dwelling Completion","2012Q3","V95: Ennis","Number","24"
"New Dwelling Completion","2012Q3","W12: Newbridge","Number","2"
"New Dwelling Completion","2012Q3","W23: Celbridge","Number","18"
"New Dwelling Completion","2012Q3","W34: Monasterevin","Number","0"
"New Dwelling Completion","2012Q3","W91: Naas","Number","21"
"New Dwelling Completion","2012Q3","X35: Dungarvan","Number","2"
"New Dwelling Completion","2012Q3","X42: Kilmacthomas","Number","3"
"New Dwelling Completion","2012Q3","X91: Waterford","Number","11"
"New Dwelling Completion","2012Q3","Y14: Arklow","Number","7"
"New Dwelling Completion","2012Q3","Y21: Enniscorthy","Number","16"
"New Dwelling Completion","2012Q3","Y25: Gorey","Number","7"
"New Dwelling Completion","2012Q3","Y34: New Ross","Number","2"
"New Dwelling Completion","2012Q3","Y35: Wexford","Number","14"
"New Dwelling Completion","2012Q4","All","Number","1458"
"New Dwelling Completion","2012Q4","A41: Ballyboughal","Number","3"
"New Dwelling Completion","2012Q4","A42: Garristown","Number","4"
"New Dwelling Completion","2012Q4","A45: Oldtown","Number","0"
"New Dwelling Completion","2012Q4","A63: Greystones","Number","4"
"New Dwelling Completion","2012Q4","A67: Wicklow","Number","5"
"New Dwelling Completion","2012Q4","A75: Castleblaney","Number","1"
"New Dwelling Completion","2012Q4","A81: Carrickmacross","Number","2"
"New Dwelling Completion","2012Q4","A82: Kells","Number","22"
"New Dwelling Completion","2012Q4","A83: Enfield","Number","5"
"New Dwelling Completion","2012Q4","A84: Ashbourne","Number","8"
"New Dwelling Completion","2012Q4","A85: Dunshaughlin","Number","3"
